Rank,Team,Player,"Fantasy Position",Games,ADP,Bye,SOS,InjuryRisk,"Floor Proj","Consensus Proj","DS Proj",CeilingProj,"3D Value"
279,CIN,"Cincinnati Bengals",DEF,17,25.01,10,0%,0%,88.1,64,88,88.1,-12
280,ARI,"James Conner",RB,17,12.04,8,0%,88%,71.8,76,87,173.1,-12.2
281,LVR,"Las Vegas Raiders",DEF,17,24.01,8,0%,0%,90.8,60,91,90.8,-12.3
282,LVR,"Mike Washington Jr.",RB,17,16.09,8,0%,0%,59.3,56,71,211.8,-12.3
283,CIN,"Samaje Perine",RB,17,279.10,10,0%,14%,74.4,68,88,166.3,-12.5
284,UNS,"Najee Harris",RB,17,19.04,18,-,27%,54.8,68,84,185.5,-12.5
285,TB,"Sean Tucker",RB,17,17.10,9,0%,18%,64.6,47,70,200.1,-13.2
286,NYJ,"Braelon Allen",RB,17,16.04,9,0%,53%,64.5,77,68,203.7,-13.3
287,UNS,"DeAndre Hopkins",WR,17,357.08,18,-,28%,66,60,82,189.6,-13.4
288,SEA,"Emanuel Wilson",RB,17,18.05,8,0%,0%,57,47,71,199.7,-13.5
289,NYJ,"New York Jets",DEF,17,23.07,9,0%,0%,88.3,57,88,88.3,-13.6
290,UNS,"JuJu Smith-Schuster",WR,17,283.06,18,-,94%,67,32,84,184.4,-13.7
291,SEA,"George Holani",RB,17,468.08,8,0%,0%,43.8,24,55,137,0
292,MIA,"Caleb Douglas",WR,17,395.08,12,0%,0%,66.2,,74,202.4,-14
293,UNS,"David Njoku",TE,17,13.08,18,-,86%,102.6,95,117,183.1,-14.1
294,ARI,"Trey Benson",RB,17,14.04,8,0%,45%,61.9,56,72,187.2,-14.1
295,GB,"MarShawn Lloyd",RB,17,487.12,5,0%,88%,52.1,36,65,208.4,-14.1
296,TB,"Ted Hurst",WR,17,20.02,9,0%,0%,61.7,55,73,203.3,-14.4
297,DAL,"Jaydon Blue",RB,17,21.05,10,0%,29%,57.5,62,68,196.2,-14.4
298,TEN,"Joey Slye",K,17,153.11,10,0%,0%,130.3,127,134,158.5,-14.5
299,KC,"Brashard Smith",RB,17,20.05,10,0%,23%,58.7,47,72,186.1,-14.5
300,NYJ,"Isaiah Davis",RB,17,488.05,9,0%,0%,70,44,74,173.2,-14.6
301,NE,"Mack Hollins",WR,17,278.06,14,0%,6%,68.9,64,77,187.4,-14.7
302,PHI,"Marquise Brown",WR,17,191.06,9,0%,94%,66.9,88,73,196.5,-14.7
303,NE,"Kyle Williams",WR,17,20.01,14,0%,5%,66.2,65,73,196.5,-14.7
304,BUF,"Ty Johnson",RB,17,181.09,7,0%,25%,69.9,69,82,152.2,-14.9
305,IND,"Nick Westbrook-Ikhine",WR,17,101.06,11,0%,0%,66.4,59,75,188.7,-14.9
306,UNS,"Curtis Samuel",WR,17,282.05,18,-,44%,65.4,5,82,175.8,-15
307,UNS,"Nick Chubb",RB,17,238.01,18,-,61%,53.9,28,77,169.4,-15.3
308,CIN,"Mike Gesicki",TE,17,237.11,10,0%,37%,101.6,99,115,176.6,-15.5
309,WAS,"Jaylin Lane",WR,17,437.04,12,0%,0%,60.1,28,67,203.7,-15.6
310,WAS,"Dyami Brown",WR,17,96.06,12,0%,59%,58.9,57,69,198.7,-15.8
311,JAC,"LeQuint Allen",RB,17,438.09,8,0%,17%,64.7,32,70,168.9,-15.9
312,TEN,"Nicholas Singleton",RB,17,19.01,10,0%,0%,47.3,43,56,208.5,-16
313,MIA,"Tutu Atwell",WR,17,97.12,12,0%,15%,63.5,69,69,189.8,-16.3
314,WAS,"Washington Commanders",DEF,17,22.12,12,0%,0%,86.1,66,86,86.1,-16.4
315,CHI,"Zavion Thomas",WR,17,389.12,5,0%,0%,57,,67,197.7,-16.4
316,CLE,"Andre Szmyt",K,17,508.01,9,0%,0%,128.6,,133,156.5,-16.5
317,LVR,"Matt Gay",K,17,179.01,8,0%,0%,129.9,141,133,155.1,-16.6
318,UNS,"Austin Ekeler",RB,17,252.11,18,-,84%,51.5,33,69,171.7,-16.7
319,CAR,"Xavier Legette",WR,17,486.01,14,0%,82%,61.5,92,65,194.3,-16.8
320,UNS,"Kareem Hunt",RB,17,281.09,18,-,42%,51.5,24,74,158.3,-17.1
321,CHI,"Kalif Raymond",WR,17,294.05,5,0%,6%,65,42,71,176.8,-17.2
322,NE,"Demario Douglas",WR,17,27.02,14,0%,30%,62.8,111,66,185.2,-17.4
323,IND,"Ashton Dulin",WR,17,158.11,11,0%,0%,58.8,21,65,189.3,-17.4
324,WAS,"Luke McCaffrey",WR,17,485.02,12,0%,8%,60.1,37,63,192.9,-17.4
325,LAC,"Brenen Thompson",WR,17,391.05,12,0%,0%,55.5,,62,197.5,-17.5
326,NYG,"Malachi Fields",WR,17,21.11,14,0%,0%,51.9,60,61,198.3,-17.8
327,UNS,"Noah Brown",WR,17,275.09,18,-,0%,59.4,22,70,174.7,-17.9
328,UNS,"Antonio Gibson",RB,17,134.04,18,-,22%,48.2,4,74,148.2,-18.1
329,GB,"Christopher Brooks",RB,17,501.02,5,0%,0%,50.5,43,56,182.4,-18.1
330,DEN,"Evan Engram",TE,17,282.09,12,0%,67%,98.1,102,107,179.1,-18.2
331,LAR,"Colby Parkinson",TE,17,14.02,8,0%,0%,92.6,65,106,183,-18.2
332,UNS,"Sterling Shepard",WR,17,313.05,18,-,82%,60.1,1,71,169.7,-18.2
333,MIA,"Jalen Tolbert",WR,17,70.01,12,0%,0%,57.4,73,64,184.8,-18.3
334,SF,"Jordan James",RB,17,441.07,14,0%,0%,47.9,41,53,186.2,-18.4
335,WAS,"Treylon Burks",WR,17,69.03,12,0%,29%,56,24,61,188.6,-18.5
336,NO,"Bryce Lance",WR,17,389.04,11,0%,0%,52.6,,58,195.9,-18.5
337,NYJ,"Cade York",K,17,61.02,9,0%,0%,128.3,88,131,153.2,-18.6
338,UNS,"Tyler Lockett",WR,17,339.09,18,-,37%,54,85,67,172.1,-19
339,PHI,"Tank Bigsby",RB,17,17.04,9,0%,17%,47.6,72,50,185.6,-19
340,LAR,"Jordan Whittington",WR,17,486.02,8,0%,0%,55.6,59,58,187.1,-19.2
341,KC,"Jalen Royals",WR,17,440.01,10,0%,34%,48.7,31,54,200.4,-19.2
342,LAC,"Kimani Vidal",RB,17,16.11,12,0%,0%,54.4,49,59,159.7,-19.3
343,SF,"Kaelon Black",RB,17,389.09,14,0%,0%,44.5,,49,183,-19.6
344,MIA,"Jaylen Wright",RB,17,19.06,12,0%,7%,45.2,48,53,172.9,-19.8
345,TEN,"Chimere Dike",WR,17,17.05,10,0%,0%,52.2,58,57,181.7,-20.3
