"RK",TIERS,"PLAYER NAME",TEAM,"POS","BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"342",15,"Noah Fant",NO,"TE52","289","321","303.4","13.1","-"
"343",15,"Malik Benson",LV,"WR139","176","346","295.0","69.2","-"
"344",15,"Zach Ertz",FA,"TE53","267","316","296.0","20.6","-"
"345",15,"Joe Flacco",CIN,"QB43","214","298","256.0","42.0","-"
"346",15,"Eli Raridon",NE,"TE54","263","336","300.0","26.1","-"
"347",15,"Marcus Mariota",WAS,"QB44","180","180","180.0","0.0","-"
"348",15,"Dawson Knox",BUF,"TE55","289","316","309.6","10.3","-"
"349",15,"Zavion Thomas",CHI,"WR140","254","351","311.4","34.9","-"
"350",15,"Luke Musgrave",GB,"TE56","294","327","310.8","14.2","-"
"351",15,"Nick Westbrook-Ikhine",IND,"WR141","188","188","188.0","0.0","-"
"352",15,"Dyami Brown",WAS,"WR142","193","193","193.0","0.0","-"
"353",15,"Damien Martinez",GB,"RB111","270","317","293.3","19.2","-"
"354",15,"Tai Felton",MIN,"WR143","270","311","294.0","17.4","-"
"355",15,"Deion Burks",IND,"WR144","284","352","313.0","27.3","-"
"356",15,"Daniel Bellinger",TEN,"TE57","240","350","303.7","46.5","-"
"357",15,"J'Mari Taylor",JAC,"RB112","264","344","302.3","32.7","-"
"358",15,"Sam Roush",CHI,"TE58","296","334","311.0","16.5","-"
"359",15,"Le'Veon Moss",MIA,"RB113","256","338","297.0","41.0","-"
"360",15,"Jonnu Smith",FA,"TE59","275","339","312.7","27.3","-"
"361",15,"Roman Wilson",PIT,"WR145","255","255","255.0","0.0","-"
"362",15,"Mitch Tinsley",CIN,"WR146","257","257","257.0","0.0","-"
"363",15,"Jordan Whittington",LAR,"WR147","265","265","265.0","0.0","-"
"364",15,"Roschon Johnson",CHI,"RB114","268","348","308.0","40.0","-"
"365",15,"Phil Mafah",DAL,"RB115","287","324","305.5","18.5","-"
"366",15,"Xavier Restrepo",TEN,"WR148","270","270","270.0","0.0","-"
"367",15,"Antwane Wells Jr.",FA,"WR149","272","272","272.0","0.0","-"
"368",15,"Marlin Klein",HOU,"TE60","287","327","307.0","20.0","-"
"369",15,"Julian Fleming",FA,"WR150","276","276","276.0","0.0","-"
"370",15,"Rasheen Ali",BAL,"RB116","276","276","276.0","0.0","-"
"371",15,"Jam Miller",NE,"RB117","279","340","309.5","30.5","-"
"372",15,"Brandin Cooks",FA,"WR151","279","279","279.0","0.0","-"
"373",15,"Nate Boerkircher",JAC,"TE61","284","284","284.0","0.0","-"
"374",15,"Zavier Scott",MIN,"RB118","294","294","294.0","0.0","-"
"375",15,"Jameis Winston",NYG,"QB45","296","296","296.0","0.0","-"
"376",15,"Devontez Walker",BAL,"WR152","302","337","319.5","17.5","-"
"377",15,"Kyle Juszczyk",SF,"RB119","299","299","299.0","0.0","-"
"378",15,"Gardner Minshew II",ARI,"QB46","299","299","299.0","0.0","-"
"379",15,"Jared Wiley",KC,"TE62","299","299","299.0","0.0","-"
"380",15,"Theo Wease Jr.",MIA,"WR153","300","300","300.0","0.0","-"
"381",15,"Greg Dortch",DET,"WR154","301","301","301.0","0.0","-"
"382",15,"Elijah Higgins",ARI,"TE63","302","347","324.5","22.5","-"
