Rank,Team,Player,"Fantasy Position",Games,ADP,Bye,SOS,InjuryRisk,"Floor Proj","Consensus Proj","DS Proj",CeilingProj,"3D Value"
286,ATL,"Nick Folk",K,17,26.10,5,0%,0%,133.3,141,136,161.8,-11.8
287,CIN,"Cincinnati Bengals",DEF,17,28.05,10,0%,0%,88.1,64,88,88.1,-12
288,SF,"Isaac Guerendo",RB,17,32.08,14,0%,50%,32.7,30,37,130,-12
289,LVR,"Jack Bech",WR,17,31.07,8,0%,23%,101.9,75,116,249,-12.1
290,CAR,"Trevor Etienne",RB,17,35.10,14,0%,13%,35.8,23,40,121.3,-12.1
291,PIT,"Eli Heidenreich",RB,17,27.05,5,0%,0%,31.5,,37,129.7,-12.1
292,LVR,"Las Vegas Raiders",DEF,17,28.03,8,0%,0%,90.8,60,91,90.8,-12.3
293,IND,"Seth McGowan",RB,17,22.06,11,0%,0%,28.5,31,33,134,-12.4
294,UNS,"David Njoku",TE,17,14.05,18,-,86%,122.8,115,140,219.1,-12.5
295,PHI,"Will Shipley",RB,17,33.10,9,0%,8%,31.5,28,33,122.7,-13
296,DAL,"Phil Mafah",RB,17,34.09,10,0%,0%,28.9,7,31,125.8,-13.1
297,LVR,"Kirk Cousins",QB,4,27.06,8,0%,9%,52,31,53,106.2,-13.2
298,KC,"Emari Demercado",RB,17,21.10,10,0%,17%,32.1,33,38,105.7,-13.5
299,NYJ,"New York Jets",DEF,17,29.03,9,0%,0%,88.3,57,88,88.3,-13.6
300,LAR,"Jarquez Hunter",RB,17,31.02,8,0%,0%,23.4,21,28,129.4,-13.7
301,CIN,"Mike Gesicki",TE,17,25.11,10,0%,37%,122.5,121,139,213,-13.8
302,NYG,"Darius Slayton",WR,17,37.01,14,0%,77%,104.5,90,116,232.2,-14.1
303,NO,"Ty Chandler",RB,17,36.11,11,0%,8%,30.6,14,38,95.6,-14.1
304,NE,"Jamarion Miller",RB,17,178.05,14,0%,0%,25.3,,29,119.2,-14.1
305,ATL,"Zachariah Branch",WR,17,21.06,5,0%,0%,96.6,65,112,244.7,-14.2
306,NO,"Devin Neal",RB,17,20.09,11,0%,0%,31.8,38,38,94.8,-14.2
307,TEN,"Joey Slye",K,17,26.09,10,0%,0%,130.3,127,134,158.5,-14.5
308,JAC,"Travis Hunter",WR,17,14.11,8,0%,44%,87.4,128,95,280.3,-14.9
309,SEA,"Kenny McIntosh",RB,17,32.12,8,0%,0%,24.6,5,27,109.3,-14.9
310,KC,"Jaydn Ott",RB,17,33.08,10,0%,0%,19.5,,24,114.7,-15.1
311,NE,"Kayshon Boutte",WR,17,19.01,14,0%,0%,103.7,93,115,225.9,-15.3
312,NO,"Audric Estime",RB,17,34.03,11,0%,25%,26.8,11,30,88.2,-15.7
313,CLE,"Raheim Sanders",RB,17,202.08,9,0%,0%,19.5,15,22,110.6,-15.7
314,DAL,"Ryan Flournoy",WR,17,21.07,10,0%,0%,98,70,115,224.8,-16
315,DEN,"Evan Engram",TE,17,22.10,12,0%,67%,119.9,125,130,219,-16.1
316,CHI,"Roschon Johnson",RB,17,96.11,5,0%,6%,17.9,30,20,109.4,-16.1
317,BAL,"Rashod Bateman",WR,17,30.11,7,0%,43%,97.5,117,111,232.8,-16.2
318,MIA,"Le'Veon Moss",RB,17,29.12,12,0%,0%,19.2,,23,101.7,-16.2
319,CIN,"Tahj Brooks",RB,17,30.01,10,0%,0%,18.7,34,21,103.7,-16.3
320,WAS,"Washington Commanders",DEF,17,28.01,12,0%,0%,86.1,66,86,86.1,-16.4
321,TEN,"Michael Carter",RB,17,32.05,10,0%,46%,28.4,5,33,71.8,-16.4
322,CLE,"Andre Szmyt",K,17,28.04,9,0%,0%,128.6,,133,156.5,-16.5
323,LVR,"Matt Gay",K,17,29.11,8,0%,0%,129.9,141,133,155.1,-16.6
324,ATL,"Tyler Goodson",RB,17,176.05,5,0%,0%,17.8,13,20,101.2,-16.6
325,JAC,"J'Mari Taylor",RB,17,23.08,8,0%,0%,18,,22,94.2,-16.7
326,HOU,"Jawhar Jordan",RB,17,34.06,6,0%,0%,23.3,32,26,77.5,-17.1
