Rank,Team,Player,"Fantasy Position",Games,ADP,Bye,SOS,InjuryRisk,"Floor Proj","Consensus Proj","DS Proj",CeilingProj,"3D Value"
168,JAC,"Cam Little",K,17,483.09,8,0%,0%,146.9,146,153,180.5,5.2
169,CAR,"Jonathon Brooks",RB,17,17.01,14,0%,44%,99.3,62,117,261.6,5.1
170,NYJ,"Adonai Mitchell",WR,17,16.07,9,0%,12%,97,65,105,205.7,5.1
171,WAS,"Jacory Croskey-Merritt",RB,17,12.06,12,0%,44%,102.3,115,119,253.5,5
172,MIN,"Aaron Jones",RB,17,11.10,6,0%,65%,105.4,143,135,217.6,4.8
173,BAL,"Tyler Loop",K,17,435.01,7,0%,0%,143.6,149,153,178.8,4.6
174,BUF,"Buffalo Bills",DEF,17,25.04,7,0%,0%,107.2,76,107,107.2,4.6
175,TB,"Kenneth Gainwell",RB,17,11.11,9,0%,52%,115.4,115,133,210.8,4.3
176,JAC,"Brenton Strange",TE,17,11.04,8,0%,39%,113.7,116,125,157.4,4
177,NYJ,"Kenyon Sadiq",TE,17,11.08,9,0%,0%,110.7,104,118,173.1,3.9
178,BAL,"Baltimore Ravens",DEF,17,25.05,7,0%,0%,107.3,95,107,107.3,3.7
179,JAC,"Jacksonville Jaguars",DEF,17,24.05,8,0%,0%,105.3,72,105,105.3,3.7
180,LAR,"Los Angeles Rams",DEF,17,24.02,8,0%,0%,106.8,77,107,106.8,3.3
181,MIN,"Minnesota Vikings",DEF,17,23.11,6,0%,0%,109.7,78,110,109.7,3.2
182,DET,"Jake Bates",K,17,490.01,8,0%,6%,146.6,150,150,175,3.1
183,CHI,"Cairo Santos",K,17,346.09,5,0%,0%,142.2,145,151,174,2.9
184,SF,"Eddy Pineiro",K,17,227.02,14,0%,0%,143.7,132,151,172.5,2.8
185,LAR,"Harrison Mevis",K,17,470.10,8,0%,0%,145.1,137,150,175,2.8
186,NO,"Juwan Johnson",TE,17,11.03,11,0%,79%,112.6,110,122,155.4,2.8
187,NYG,"Darnell Mooney",WR,17,19.12,14,0%,94%,92.7,84,103,190.5,2.7
188,TEN,"Tyjae Spears",RB,17,14.12,10,0%,44%,111.8,104,129,203.1,2.6
189,LVR,"Jalen Nailor",WR,17,20.04,8,0%,0%,91.2,76,104,189.6,2.6
190,GB,"Trey Smack",K,17,384.07,5,0%,0%,143.6,,150,175,2.5
191,NYG,"Isaiah Likely",TE,17,11.12,14,0%,16%,111.4,115,117,164.2,2.4
192,JAC,"Chris Rodriguez",RB,17,16.12,8,0%,17%,94.5,90,107,252.5,2.2
193,PIT,"Pittsburgh Steelers",DEF,17,23.05,5,0%,0%,105.5,78,106,105.5,2.2
194,HOU,"Jaylin Noel",WR,17,19.05,6,0%,11%,88.3,45,98,198.1,2.2
195,HOU,"Woody Marks",RB,17,13.04,6,0%,0%,106.6,82,117,217.9,1.5
196,DET,"Isiah Pacheco",RB,17,17.08,8,0%,75%,100.3,99,113,231.1,1.5
197,SEA,"Cooper Kupp",WR,17,21.04,8,0%,94%,88.4,99,98,191.6,1.5
198,WAS,"Antonio Williams",WR,17,15.10,12,0%,0%,86.5,94,94,201.2,1.5
